,fga,fg3a,fta,per,ts_pct,usg_pct,bpm,season,player,win_pct,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
0,18.6,0.2,6.5,25.1,0.572,28.4,8.0,1980-81,Julius Erving,0.7560975609756098,28.0,454.0,690.0,0.658,82.0,35.0,24.6,8.0,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231
1,18.3,0.9,4.0,19.9,0.528,24.3,5.1,1980-81,Larry Bird,0.7560975609756098,20.0,423.0,690.0,0.613,82.0,39.5,21.2,10.9,5.5,2.0,0.8,0.478,0.27,0.863,10.8,0.16
2,18.2,0.0,6.9,25.5,0.616,26.3,5.3,1980-81,Kareem Abdul-Jabbar,0.6585365853658537,8.0,286.0,690.0,0.414,80.0,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0.0,0.766,14.3,0.23
3,19.3,0.0,10.1,25.1,0.585,27.6,3.7,1980-81,Moses Malone,0.4878048780487805,8.0,180.0,690.0,0.261,80.0,40.6,27.8,14.8,1.8,1.0,1.9,0.522,0.333,0.757,13.7,0.202
4,21.1,0.4,7.6,22.9,0.555,32.3,1.6,1980-81,George Gervin,0.6341463414634146,1.0,83.0,690.0,0.12,82.0,33.7,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,0.182
5,15.2,0.1,5.0,22.0,0.583,23.3,5.9,1980-81,Marques Johnson,0.7317073170731707,1.0,73.0,690.0,0.106,76.0,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0.0,0.706,11.2,0.211
6,14.2,0.0,4.8,25.2,0.579,27.1,5.0,1980-81,Robert Parish,0.7560975609756098,0.0,53.0,690.0,0.077,82.0,28.0,18.9,9.5,1.8,1.0,2.6,0.545,0.0,0.71,10.9,0.228
7,15.4,0.6,6.3,17.0,0.516,24.6,2.0,1980-81,Dennis Johnson,0.6951219512195121,0.0,50.0,690.0,0.072,79.0,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,0.154
8,9.6,0.1,5.2,14.3,0.582,17.5,-1.3,1980-81,Tiny Archibald,0.7560975609756098,0.0,32.0,690.0,0.046,80.0,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0.0,0.816,6.9,0.118
9,18.5,0.2,4.1,18.0,0.556,24.5,0.8,1980-81,Jamaal Wilkes,0.6585365853658537,0.0,19.0,690.0,0.028,81.0,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,0.135
10,15.9,0.5,6.1,25.7,0.582,24.3,9.2,1980-81,Magic Johnson,0.6585365853658537,0.0,18.0,690.0,0.026,37.0,37.1,21.6,8.6,8.6,3.4,0.7,0.532,0.176,0.76,6.4,0.225
